Index,Type,Name,Data CCQE,MC CCQE,MC Truth
432,Int_t,FittedMichel_closestclusterU_energy_sz,1,1,0
433,Double_t,FittedMichel_closestclusterU_energy,1,1,0
434,Int_t,FittedMichel_closestclusterU_pos_sz,1,1,0
435,Double_t,FittedMichel_closestclusterU_pos,1,1,0
436,Int_t,FittedMichel_closestclusterU_time_sz,1,1,0
437,Double_t,FittedMichel_closestclusterU_time,1,1,0
438,Int_t,FittedMichel_closestclusterU_zdist_sz,1,1,0
439,Double_t,FittedMichel_closestclusterU_zdist,1,1,0
440,Int_t,FittedMichel_closestclusterVZ_distance_sz,1,1,0
441,Double_t,FittedMichel_closestclusterVZ_distance,1,1,0
442,Int_t,FittedMichel_closestclusterV_Z_pos_sz,1,1,0
443,Double_t,FittedMichel_closestclusterV_Z_pos,1,1,0
444,Int_t,FittedMichel_closestclusterV_clustime_sz,1,1,0
445,Double_t,FittedMichel_closestclusterV_clustime,1,1,0
446,Int_t,FittedMichel_closestclusterV_distance_sz,1,1,0
447,Double_t,FittedMichel_closestclusterV_distance,1,1,0
448,Int_t,FittedMichel_closestclusterV_energy_sz,1,1,0
449,Double_t,FittedMichel_closestclusterV_energy,1,1,0
450,Int_t,FittedMichel_closestclusterV_pos_sz,1,1,0
451,Double_t,FittedMichel_closestclusterV_pos,1,1,0
452,Int_t,FittedMichel_closestclusterV_time_sz,1,1,0
453,Double_t,FittedMichel_closestclusterV_time,1,1,0
454,Int_t,FittedMichel_closestclusterV_zdist_sz,1,1,0
455,Double_t,FittedMichel_closestclusterV_zdist,1,1,0
456,Int_t,FittedMichel_closestclusterXZ_distance_sz,1,1,0
457,Double_t,FittedMichel_closestclusterXZ_distance,1,1,0
458,Int_t,FittedMichel_closestclusterX_Z_pos_sz,1,1,0
459,Double_t,FittedMichel_closestclusterX_Z_pos,1,1,0
